,,,,,,,,,,,,,,४७,८,,,,,,
२२,,३,१,१३,३,,,,,,,,,,,,,,,,
२२,,३,१,१४,३,,,,,,,,,,,,,,,,
२२,,३,१,१५,३,,,,,,,,,,,,,,,,
२३,,३,२,१,,राधसंयुत्तं,४६,"२३: तेवीसति, तेवीस",,,,,,,,,,,,,
२३,,३,२,२,,,,,,,,,,,,,,,,,
२३,,३,२,३,,,,,,,,,,,,,,,,,
२३,,३,२,४,,,,,,,,,,,,,,,,,
२४,,३,३,१,,दिट्ठिसंयुत्तं,९६,"२४: चतुवीसति, चतुवीस, चतुबीसतै",अट्ठारसवेय्याकरणं निट्ठितं।,,,,,,,,,,,,
२५,,३,४,१,,ओक्कन्तसंयुत्तं,२५,"२५: पञ्चवीसति, पण्णवीसति",,,,,,,,,,,,,
२६,,३,५,१,,उप्पादसंयुत्तं,२६,२६: छब्बीसति,,,,,,,,,,,,,
२७,,३,६,१,,किलेससंयुत्तं,२७,२७: सत्तवीसति,,,,,,,,,,,,,
२८,,३,७,१,,सारिपुत्तसंयुत्तं,२८,२८: अट्ठवीसति,,,,,,,,,,,,,
२९,,३,८,१,,नागसंयुत्तं,५०,२९: एकूनतिंसति,,,,,,,,,,,,,
३०,,३,९,१,,सुपण्णसंयुत्तं,४६,"३०: तिंसति , तिंस, तिंसा, तिंसं, समतिंस",,,,,,,,,,,,,
३१,,३,१०,१,,गन्धब्बकायसंयुत्तं,११२,३१: एकतिंसति,,,,,,,,,,,,,
३२,,३,११,१,,वलाहकसंयुत्तं,५७,"३२: द्वत्तिंसति, द्वत्तिंस, बत्तिंसति",सत्तपञ्ञाससुत्तन्तं निट्ठितं,,,,,,,,,,,,
३३,,३,१२,१,,वच्छगोत्तसंयुत्तं,५५,"३३: तेत्तिंसति, तेत्तिंस",,,,,,,,,,,,,
३४,,३,१३,१,,झानसंयुत्तं,५५,३४: चतुत्तिंसति,,,,,,,,,,,,,
३४,,३,१३,२,,,,,,,,,,,,,,,,,
३४,,३,१३,३,,,,,,,,,,,,,,,,,
३५,सळायतनवग्गसंयुत्तपाळि,४,१,१,,सळायतनसंयुत्तं,२४८,३५: पञ्चतिंसति,१०,,,,,,,,,,,,
३५,,४,१,२,,,,,,,,,,,,,,,,,
३५,,४,१,३,,,,,,,,,,,,,,,,,
३५,,४,१,४,,,,,,,,,,,,,,,,,
३५,,४,१,५,,,,,,,,,,,,,,,,,
३५,,४,१,६,,,,,,,,,,,,,,,,,
३५,,४,१,७,,,,,,,,,,,,,,,,,
३५,,४,१,८,,,,,,,,,,,,,,,,,
३५,,४,१,९,,,,,,,,,,,,,,,,,
३५,,४,१,१०,,,,,,,,,,,,,,,,,
३५,,४,१,११,,,,,,,,,,,,,,,,,
३५,,४,१,१२,,,,,,,,,,,,,,,,,
३५,,४,१,१३,,,,,,,,,,,,,,,,,
३५,,४,१,१४,,,,,,,,,,,,,,,,,
३५,,४,१,१५,,,,,,,,,,,,,,,,,
३५,,४,१,१६,,,,,,,,,,,,,,,,,
३५,,४,१,१७,,,,,,,,,,,,,,,,,
३५,,४,१,१८,,,,,,,,,,,,,,,,,
३५,,४,१,१९,,,,,,,,,,,,,,,,,
३६,,४,२,१,,वेदनासंयुत्तं,३६,३६: छत्तिंसति,,,,,,,,,,,,,
३६,,४,२,२,,,,,,,,,,,,,,,,,
३६,,४,२,३,,,,,,,,,,,,,,,,,
