#,वग्ग,छेच्क्,,,,नाम,छेच्क्,,,,,,तोतल्,दोने,लेफ़्त्,मेमोरिज़े
४६,,,१,५,६,महाधम्मसमादानसुत्त,,☆,☆,"४ способа। боль боль, приятно боль, боль приятно, приятно приятно","४६: छचत्तालीसति, छचत्तारीसति",,,,,
४७,,,१,५,७,वीमंसकसुत्त,,☆,,,"४७: सत्तचत्तालीसति, सत्तचत्तारीसति",,,,,
४८,,,१,५,८,कोसम्बियसुत्त,,☆,,,"४८: अट्ठचत्तालीसति, अट्ठचत्तारीसति",,,,,
४९,,,१,५,९,ब्रह्मनिमन्तनिकसुत्त,,☆,☆,,४९: एकूनपञ्ञासा,,,,,
५०,,,१,५,१०,मारतज्जनीयसुत्त,,☆,☆,,"५०: पञ्ञस, पञ्ञास, पञ्ञासं, पण्णासा, पण्णासं",,,,,
५१,मज्झिमपण्णासक / गहपतिवग्गो,,२,१,१,कन्दरकसुत्त,,☆,☆,"дрессировка слонов। муч себя и других, себя и до, ни себя ни др","५१: एकपन्नासा, एकपण्णासा",,,,,
५२,,,२,१,२,अट्ठकनागरसुत्त,,☆,,,"५२: द्वेपञ्ञासा, द्वेपण्णासा",,,,,
५३,,,२,१,३,सेखसुत्त,,☆,,,"५३: तिपञ्ञासा, तिपण्णासा",,,,,
५४,,,२,१,४,पोतलियसुत्त,,☆,☆,,"५४: चतुपञ्ञासा, चतुपण्णासा",,,,,
५५,,,२,१,५,जीवकसुत्त,,☆,,,"५५: पञ्चपञ्ञासा, पञ्चपण्ण्नासा",,,,,
५६,,,२,१,६,उपालिसुत्त,,☆,,,"५६: छप्पञ्ञासा, छप्पण्णासा",,,,,
५७,,,२,१,७,कुक्कुरवतिकसुत्त,,☆,,,"५७: सत्तपञ्ञासा, सत्तपण्णासा",,,,,
५८,,,२,१,८,अभयराजकुमारसुत्त,,☆,,,"५८: अट्ठपञ्ञासा, अट्ठपण्णासा",,,,,
५९,,,२,१,९,बहुवेदनीयसुत्त,,☆,,,५९: एकूनसट्ठि,,,,,
६०,,,२,१,१०,अपण्णकसुत्त,,☆,,,६०: सट्ठि,,,,,
६१,भिक्खुवग्गो,,२,२,१,अम्बलट्ठिकराहुलोवादसुत्त,,☆,,,६१: एकसट्ठि,,,,,
६२,,,२,२,२,महाराहुलोवादसुत्त,,☆,,,"६२: द्वीसट्ठि, द्वासट्ठि, द्वेसट्ठि",,,,,
६३,,,२,२,३,चूळमालुक्यसुत्त,,☆,,,"६३: तिसट्ठि, तेसट्ठि",,,,,
६४,,,२,२,४,महामालुक्यसुत्त,,☆,☆,,६४: चतुसट्ठि,,,,,
६५,,,२,२,५,भद्दालिसुत्त,,☆,☆,,६५: पञ्चसट्ठि,,,,,
६६,,,२,२,६,लटुकिकोपमसुत्त,,☆,,,६६: छसट्ठि,,,,,
६७,,,२,२,७,चातुमसुत्त,,☆,☆,"четыре опасности: волн, крокодилов?, водоворотов, акул",६७: सत्तसट्ठि,,,,,
६८,,,२,२,८,नळकपानसुत्त,,☆,,,६८: अट्ठसट्ठि,,,,,
