१,,,,,,,,,,,,,,,,,,,,,,
५,१,१,१,,११५२,५: पञ्च (पञ्चम),,,,,,,,,,,,,,,,
५,२,१,२,,,,,,,,,,,,,,,,,,,
५,३,१,३,,,,,,,,,,,,,,,,,,,
५,४,१,४,,,,,,,,,,,,,,,,,,,
५,५,१,५,,,,,,,,,,,,,,,,,,,
५,६,२,१,,,,,,,,,,,,,,,,,,,
५,७,२,२,,,,,,,,,,,,,,,,,,,
५,८,२,३,,,,,,,,,,,,,,,,,,,
५,९,२,४,,,,,,,,,,,,,,,,,,,
५,१०,२,५,,,,,,,,,,,,,,,,,,,
५,११,३,१,,,,,,,,,,,,,,,,,,,
५,१२,३,२,,,,,,,,,,,,,,,,,,,
५,१३,३,३,,,,,,,,,,,,,,,,,,,
५,१४,३,४,,,,,,,,,,,,,,,,,,,
५,१५,३,५,,,,,,,,,,,,,,,,,,,
५,१६,४,१,,,,,,,,,,,,,,,,,,,
५,१७,४,२,,,,,,,,,,,,,,,,,,,
५,१८,४,३,,,,,,,,,,,,,,,,,,,
५,१९,४,४,,,,,,,,,,,,,,,,,,,
५,२०,४,५,,,,,,,,,,,,,,,,,,,
५,२१,५,१,,,,,,,,,,,,,,,,,,,
५,२२,५,२,,,,,,,,,,,,,,,,,,,
५,२३,५,३,,,,,,,,,,,,,,,,,,,
५,२४,५,४,रागपेय्यालं निट्ठितं,,,,,,,,,,,,,,,,,,
५,२५,५,५,सिक्खापदपेय्यालं निट्ठितं,,,,,,,,,,,,,,,,,,
५,२६,५,६,सम्मुतिपेय्यालं निट्ठितं,,,,,,,,,,,,,,,,,,
६,१,१,१,,६४९,६: छ (छट्ठ),,,,,,,,,,,,,,,,
६,२,१,२,,,,,,,,,,,,,,,,,,,
६,३,१,३,,,,,,,,,,,,,,,,,,,
६,४,१,४,,,,,,,,,,,,,,,,,,,
६,५,१,५,,,,,,,,,,,,,,,,,,,
६,६,२,६,,,,,,,,,,,,,,,,,,,
६,७,२,७,,,,,,,,,,,,,,,,,,,
६,८,२,८,,,,,,,,,,,,,,,,,,,
६,९,२,९,,,,,,,,,,,,,,,,,,,
६,१०,२,१०,,,,,,,,,,,,,,,,,,,
६,११,२,११,,,,,,,,,,,,,,,,,,,
६,१२,२,१२,रागपेय्यालं निट्ठितं,,,,,,,,,,,,,,,,,,
७,१,१,१,,११२४,७: सत्त (सत्तम),,,,,,,,,,,,,,,,
७,२,१,२,,,,,,,,,,,,,,,,,,,
७,३,१,३,,,,,,,,,,,,,,,,,,,
७,४,१,४,,,,,,,,,,,,,,,,,,,
७,५,१,५,पण्णासको समत्तो,,,,,,,,,,,,,,,,,,
७,६,२,६,,,,,,,,,,,,,,,,,,,
७,७,२,७,महावग्गो सत्तमो,,,,,,,,,,,,,,,,,,
७,८,२,८,,,,,,,,,,,,,,,,,,,
७,९,२,९,,,,,,,,,,,,,,,,,,,
७,१०,२,१०,रागपेय्यालं निट्ठितं,,,,,,,,,,,,,,,,,,
८,१,१,१,,६२७,८: अट्ठ (अट्ठम),,,,,,,,,,,,,,,,
८,२,१,२,,,,,,,,,,,,,,,,,,,
८,३,१,३,,,,,,,,,,,,,,,,,,,
८,४,१,४,,,,,,,,,,,,,,,,,,,
८,५,१,५,,,,,,,,,,,,,,,,,,,
८,६,२,१,,,,,,,,,,,,,,,,,,,
८,७,२,२,,,,,,,,,,,,,,,,,,,
८,८,२,३,,,,,,,,,,,,,,,,,,,
८,९,२,४,,,,,,,,,,,,,,,,,,,
८,१०,२,५,रागपेय्यालं निट्ठितं,,,,,,,,,,,,,,,,,,
९,१,१,१,,४३२,९: नव (नवम),,,,,,,,,,,,,,,,
९,२,१,२,,,,,,,,,,,,,,,,,,,
९,३,१,३,,,,,,,,,,,,,,,,,,,
९,४,१,४,,,,,,,,,,,,,,,,,,,
९,५,१,५,,,,,,,,,,,,,,,,,,,
९,६,२,१,,,,,,,,,,,,,,,,,,,
९,७,२,२,,,,,,,,,,,,,,,,,,,
९,८,२,३,,,,,,,,,,,,,,,,,,,
९,९,२,४,रागपेय्यालं निट्ठितं,,,,,,,,,,,,,,,,,,
१०,१,१,१,,७४६,१०: दस (दसम),,,,,,,,,,,,,,,,
१०,२,१,२,,,,,,,,,,,,,,,,,,,
१०,३,१,३,,,,,,,,,,,,,,,,,,,
१०,४,१,४,,,,,,,,,,,,,,,,,,,
१०,५,१,५,,,,,,,,,,,,,,,,,,,
१०,६,२,१,,,,,,,,,,,,,,,,,,,
